"name","boat_type","length","double_cabins","wc"
"Moorings 4600 - Club",2,14.02,4,5
"Sunsail 47/4/4 Prem Plus",1,14.33,4,4
"Sunsation F-4",4,13.30,1,1
"Sunsail 44i/4/2",1,13.41,4,2
"TRAPANI VELA CLUB",1,9.67,2,1
"Sunsail 47/4/4 Prem",1,14.33,4,4
"ALINA",2,13.10,6,4
"Fiumana",1,9.66,2,1
"KOS 469.1",1,14.05,4,4
"Moorings 4000 - Club",,12.19,4,2
"Moorings 4800 - Excl Plus",2,14.63,4,4
"Moorings 514PC-Club",2,15.24,4,5
"Moorings 48.4 - Excl",1,14.63,4,4
"Moorings 4800 - Crewed",2,14.63,4,4
"BAR",1,13.10,4,2
"Moorings 4800 - Club",2,14.63,4,4
"Moorings 5800 Crewed",,17.68,6,5
"Fjaka",1,10.90,3,1
"Moorings 4800 - Exclusive",2,14.63,4,4
"Olynthia",1,11.50,3,1
"Sunsail 51/4/4",1,15.37,4,4
"Aeropi",2,13.96,6,4
"NN3 2017",1,13.95,4,2
"Jeanneau 379",1,11.28,2,1
"Moorings 4800 - Exclusive",2,14.63,4,4
"Sunsail 47/4/4",1,14.33,4,4
"Sunsail 47/4/4 Prem Plus",1,14.33,4,4
"Sunsail 47/4/4",1,14.33,4,4
"Treanne",2,11.98,4,4
"Moorings 50.5 - Club",1,15.24,5,5
"Kal'e Moru",1,15.20,5,3
"Sunsail 454 - Premier",,13.41,4,4
"Moorings 514PC-Excl",2,15.24,4,5
"Sunsail 47/4/4 Prem",1,14.33,4,4
"ONE",1,11.25,3,2
"Moorings 5800 Crewed",,17.55,5,5
"Moorings 48.4 - Excl Plus",1,14.63,4,4
"Moorings 48.4 - Excl Plus",1,14.63,4,4
"Moorings 5800 - Exclusive",,17.68,5,5
"Moorings 48.4 - Excl Plus",1,14.63,4,4
"Tiki",1,15.75,5,3
"OPAL",2,18.90,6,6
"Alize",2,14.00,4,4
"Latitud 3",1,12.60,4,2
"Max",1,13.76,4,2
"Moorings 5800 Crewed",,17.68,4,4
"Moorings 5800 Crewed",,17.55,5,5
"Moorings 5800 - Exclusive",,17.68,5,5
"Saggitarius",1,10.85,2,1
"Sunsail 454/4/4 Prem Plus",,13.41,4,4
"SAHARA",1,16.10,4,4
"Latitud V",1,15.38,5,3
"Dina",2,15.84,5,6
"Sunsail 454 - Premier",,13.41,4,4
"Sea Star",1,9.99,2,1
"Slade",1,13.72,4,2
